altitude,cep,latitude,longitude,logradouro,bairro,complemento,cidade,DDD,IBGE
596.0,89700176,-27.2347012,-52.0214525,Rua Leonel Mosele,Centro,- até 410 - lado par,Concórdia,49.0,4204301
39.0,88351495,-27.098,-48.9192131754,Rua Guilherme Wegner,São Luiz,- lado ímpar,Brusque,47.0,4202909
12.0,88715000,-28.6148199985,-49.026,,,,Jaguaruna,48.0,4208807
38.0,88811235,-28.6943800054,-49.3886702794,Rua Júlio Gaidzinski,Mina Brasil,,Criciúma,48.0,4204608
8.0,88102100,-27.6141899986,-48.627085862,Rua Delamar José da Silva,Kobrasol,- lado par,São José,48.0,4216602
9.0,88708080,-28.467,-49.0152926515,Rua Maria Medeiros Esmeraldino,Humaitá de Cima,,Tubarão,48.0,4218707
3.0,89217100,-26.2931235565,-48.8680625346,Rua Presidente Campos Salles,Glória,,Joinville,47.0,4209102
3.0,88015050,-27.5977200062,-48.5481875608,Rua Brigadeiro Silva Paes,Centro,,Florianópolis,48.0,4205407
1.0,88301441,-26.9072799992,-48.662,Avenida Joca Brandão,Centro,- de 383/384 ao fim,Itajaí,47.0,4208203
18.0,88103790,-27.6155400018,-48.6286094263,Avenida Acioni Souza Filho,Praia Comprida,,São José,48.0,4216602
8.0,88101030,-27.614819994,-48.628,Rua Vereador Walter Borges,Campinas,,São José,48.0,4216602
464.0,89983000,-26.6245126,-53.2002274,,,,Santa Terezinha do Progresso,,4215687
884.0,88512030,-27.816,-50.3343441722,Rua Visconde de Cairu,Centenário,,Lages,49.0,4209300
5.0,88340218,-27.0242418,-48.6562419,Rua Curitiba,Centro,- até 1035/1036,Camboriú,,4203204
3.0,88036540,-27.6051000057,-48.549,Rua Santa Luzia,Trindade,,Florianópolis,48.0,4205407
90.0,88818287,-28.655202,-49.4256331,Rua Nilton Honório,Vila São José,,Criciúma,48.0,4204608
6.0,88139899,-27.6460201,-48.6701406,Área Rural,Área Rural de Palhoça,,Palhoça,48.0,4211900
0.0,88331030,-26.9836199948,-48.6267178893,Rua Miguel Matte,Pioneiros,,Balneário Camboriú,47.0,4202008
120.0,88807270,-28.6662999945,-49.37,Rua Braz Cardoso Fernandes,Santa Luzia,,Criciúma,48.0,4204608
46.0,88811600,-28.678,-49.358613179,Rua Léo Lombardi,Pio Corrêa,,Criciúma,48.0,4204608
65.0,88036085,-27.6016800029,-48.5437191877,Rua Iracema Nunes da Silva,Trindade,,Florianópolis,48.0,4205407
8.0,88103500,-27.615,-48.625663873,Rua Luiz Fagundes,Praia Comprida,- até 881/882,São José,48.0,4216602
65.0,89030900,-26.919,-49.0569156906,Rua Engenheiro Paul Werner 925,Itoupava Seca,,Blumenau,47.0,4202404
3.0,89202310,-26.3052600079,-48.846,Rua Inácio Bastos,Bucarein,- até 548 - lado par,Joinville,47.0,4209102
3.0,88064000,-27.5683799901,-48.549,Rodovia Baldicero Filomeno,Ribeirão da Ilha,- até 2748/2749,Florianópolis,48.0,4205407
3.0,88036800,-27.6053700013,-48.549,Rua Professora Maria Flora Pausewang,Trindade,,Florianópolis,48.0,4205407
3.0,89202170,-26.304,-48.8448956423,Rua Saí,Anita Garibaldi,,Joinville,47.0,4209102
1.0,88301361,-26.9085400073,-48.662,Rua Tijucas,Centro,- de 391/392 ao fim,Itajaí,47.0,4208203
29.0,89254150,-26.486,-49.0631789486,Rua da Abolição,Rau,,Jaraguá do Sul,47.0,4208906
8.0,88337475,-26.9771399963,-48.635,Rua Alfredo Wagner,Municípios,,Balneário Camboriú,47.0,4202008
8.0,89208751,-26.3086800034,-48.846,Avenida Paulo Schroeder,Petrópolis,- de 1946/1947 a 2550/2551,Joinville,47.0,4209102
5.0,88330594,-26.991,-48.6293439268,Rua 902,Centro,- até 449/450,Balneário Camboriú,47.0,4202008
70.0,89087009,-26.909944,-49.2353387,Rua João Batista Deretti,Estados,,Indaial,47.0,4207502
