COMPETENCIA,IBGE,UF,MUNICIPIO,CNES,NOME FANTASIA,RAZAO SOCIAL,CNPJ PROPRIO,CNPJ MANTENEDORA,TIPO GESTAO,LOGRADOURO,NUMERO,BAIRRO,CEP
202202,420460,SC,CRICIUMA,488593,LABORATORIO DO POVO,LABORATORIO DO POVO LTDA,34337648000250.0,,M,AVENIDA CENTENARIO,3400,CENTRO,88802000
202202,420340,SC,CAMPO BELO DO SUL,552828,EMANUELLY BORGES FISIOTERAPIA E ESTETICA,CENTER FISIO CLINIC LTDA,40576724000100.0,,M,RUA MAJOR TEODOSIO FURTADO,96,CENTRO,88580000
202202,420430,SC,CONCORDIA,613207,CENTRO DE ONCOLOGIA CONCORDIENSE,CENTRO DE ONCOLOGIA CONCORDIENSE LTDA,35435716000104.0,,M,RUA GETULIO VARGAS,484,CENTRO,89700017
202202,420480,SC,CURITIBANOS,604801,ANDRE NASCIMENTO SILVA,ANDRE NASCIMENTO SILVA,,,M,RUA HERCILIO LUZ,244,CENTRO,89520000
202202,420900,SC,JOACABA,614122,SAO JOAO FARMACIAS,COMERCIO DE MEDICAMENTOS BRAIR LTDA,88212113002145.0,,M,XV DE NOVEMBRO,319,CENTRO,89600000
202202,420230,SC,BIGUACU,439967,FABIANA HANAI CIESLINSKI,FABIANA HANAI CIESLINSKI,,,M,RUA DOMINGOS COELHO,731,PRAIA JOAO ROSA,88160308
202202,420300,SC,CACADOR,532606,FRAMEPORT,FRAME MADEIRAS ESPECIAIS LTDA,83684191000185.0,,M,LUIZ CAETANO FRANCIO,475,FIGUEROA,89503220
202202,420890,SC,JARAGUA DO SUL,558001,CLINICA DE PSICOLOGIA KARINE GRACIELE SCOZ,KARINE GRACIELE SCOZ PSICOLOGA,40583539000135.0,,M,RUA PRESIDENTE EPITACIO PESSOA,532,CENTRO,89251100
202202,420910,SC,JOINVILLE,7689012,INSTITUTO VENTURA,ASSOCIACAO VENTURA DE ASSISTENCIA AO IDOSO A CRIANCA E AO A,12087200000102.0,,M,PROCOPIO GOMES,669,BUCAREIN,89202300
202202,420240,SC,BLUMENAU,7704283,LABORATORIO DE ANALISES CLINICAS VERNER WILLRICH,LABORATORIO DE ANALISES CLINICAS T W A LTDA,81286916000313.0,,M,ITAJAI,520,VORSTADT,89015200
202202,420215,SC,BELMONTE,472859,GIUMBELLI SERVICOS MEDICOS,GIUMBELLI SERVICOS MEDICOS LTDA,35926391000154.0,,M,R PADRE ANTONIO DE URUCANIA,410,CENTRO,89925000
202202,421400,SC,PRESIDENTE GETULIO,7706251,JAQUELINE FRANZOI ANGIOLETI,JAQUELINE FRANZOI ANGIOLETI,,,M,RUA MIRADOR,570,CENTRO,89150000
202202,421660,SC,SAO JOSE,7704011,DIAGNOSTICO AREIAS,DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS E BROMATOLOGICA,81366460000725.0,,M,SAO PEDRO,1700,AREIAS,88113250
202202,420820,SC,ITAJAI,7694520,TALITA TREVISAN ENDOCRINOLOGIA E METABOLOGIA,TALITA LETICIA TREVISAN ENDOCRINOLOGISTA EIRELI ME,21855034000138.0,,M,RUA PAULO CARAMURU DA SILVA,145,CENTRO,88301240
202202,420280,SC,BRACO DO NORTE,7695640,GEORGIA PATRICIA NOVAK PINHEIRO DE FREITAS,GEORGIA PATRICIA NOVAK PINHEIRO DE FREITAS,,,M,AVENIDA FELIPE SCHIMIDT,1169,CENTRO,88750000
202202,421870,SC,TUBARAO,9914099,VANESSA DE FARIAS FERNANDES,VANESSA DE FARIAS FERNANDES,,,M,AV MARCOLINO MARTINS CABRAL,4320,PASSAGEM,88705007
202202,420930,SC,LAGES,9795782,ANDREIA NUNES FARIA MELO,ANDREIA NUNES FARIA MELO,,,M,RUA RICARDO PAGANI,100,CORAL,88509530
202202,420390,SC,CAPINZAL,7703066,PATRICIA SOARES BORGES,PATRICIA SOARES BORGES,,,M,RUA ERNESTO HACHMANN,44,CENTRO,89665000
202202,420930,SC,LAGES,9892001,JENIFFER BORGES DE ANDRADE,JENIFFER BORGES DE ANDRADE,,,M,CORONEL CORDOVA,986,CENTRO,88502000
202202,420890,SC,JARAGUA DO SUL,9144439,PADDI ESPACO INTEGRADO DE SAUDE,PADDI ESPACO INTEGRADO DE SAUDE LTDA ME,20986597000100.0,,M,RUA EMILIO STEIN,125,CENTRO,89251540
202202,420195,SC,BALNEARIO ARROIO DO SILVA,7535147,LABORATORIO VIDA SAUDE,LABORATORIO IRMAOS AMBONI LTDA ME,19874398000113.0,,M,RUA GUANABARA,45,CENTRO,88914000
202202,420450,SC,CORUPA,9912452,LUNELLI INDUSTRIA DO VESTUARIO LTDA,LUNELLI INDUSTRIA DO VESTUARIO LTDA,12213317000357.0,,M,ABILIO LUNELLI,6700,ITAPOCU,89278000
202202,420820,SC,ITAJAI,9910441,SANCHES MEDICINA AMBULATORIAL LTDA,SANCHES MEDICINA AMBULATORIAL LTDA,32816524000141.0,,M,IRENE BONANOMI DA SILVA,288,RESSACADA,88307395
202202,420140,SC,ARARANGUA,9921818,ROSANE IRIZAGA LUCRECIO,ROSANE IRIZAGA LUCRECIO,,,M,MANOEL SERAFIM SILVANO,369,MATO ALTO,88904160
202202,420460,SC,CRICIUMA,7674147,CLINICA SARA RIBEIRO SS,CLINICA SARA RIBEIRO SS,21033890000108.0,,M,RUA COELHO NETO,69,PIO CORREA,88811518
202202,420360,SC,CAMPOS NOVOS,3311465,CLINICA SANTA CLARA S C LTDA,CLINICA SANTA CLARA S C LTDA ME,5746405000197.0,,M,RUA CORONEL FARRAPOS,408,CENTRO,89620000
202202,420820,SC,ITAJAI,7743645,RODRIGO LAUDARES MOREIRA,RODRIGO LAUDARES MOREIRA,,,M,AVENIDA CORONEL MARCOS KONDER,1313,CENTRO,88301303
202202,420930,SC,LAGES,9795723,RAFAEL MARTORANO CHIODELLI,RAFAEL MARTORANO CHIODELLI,,,M,PRACA LEOBERTO LEAL,20,CENTRO,88501310
202202,421770,SC,SOMBRIO,9871446,APAE DE SOMBRIO,ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SOMBRIO,83871111000109.0,,M,EMANUEL WURFFEL,883,SAO LUIZ,88960000
202202,420540,SC,FLORIANOPOLIS,7717016,BELLAILHA CLINICA MEDICA,BELLAILHA CLINICA MEDICA LTDA,20026244000150.0,,M,IRMA BENWARDA,83,CENTRO,88015270
