cnes,CNES,IBGE,municipio,NOME FANTASIA,logradouro,NUMERO,BAIRRO,CEP,TP_UNID,tipo_unidade,lat,lon
488593,488593,420460,Criciúma,Laboratorio Do Povo,Avenida Centenário,3400,Centro,88802000,39,Unidade De Apoio Diagnóstico E Terapia (Sadt Isolado)  ,-28.6801291,-49.3693061
552828,552828,420340,Campo Belo do Sul,Emanuelly Borges Fisioterapia E Estetica,Rua Major Teodósio Furtado,96,Centro,88580000,36,Clinica/Centro De Especialidade  ,-27.8986405,-50.758492
613207,613207,420430,Concórdia,Centro De Oncologia Concordiense,Rua Getúlio Vargas,484,Centro,89700017,22,Consultorio Isolado  ,-27.233528845954453,-52.02633701360464
604801,604801,420480,Curitibanos,Andre Nascimento Silva,Rua Doutor Hercílio Luz,244,Centro,89520000,22,Consultorio Isolado  ,-27.2849754,-50.5788632
614122,614122,420900,Joaçaba,Sao Joao Farmacias,Xv De Novembro,319,Centro,89600000,43,Farmacia  ,-27.1726715,-51.5029318
439967,439967,420230,Biguaçu,Fabiana Hanai Cieslinski,Rua Domingos Coelho,731,Praia Joao Rosa,88160308,22,Consultorio Isolado  ,-27.5064157,-48.6457464
532606,532606,420300,Caçador,Frameport,Rua Luiz Caetano Francio,475,Figueroa,89503220,22,Consultorio Isolado  ,-26.7911876,-51.0254458
558001,558001,420890,Jaraguá do Sul,Clinica De Psicologia Karine Graciele Scoz,Rua Presidente Epitácio Pessoa,532,Centro,89251100,22,Consultorio Isolado  ,-26.47732145,-49.08543717059641
7689012,7689012,420910,Joinville,Instituto Ventura,Rua Coronel Procópio Gomes,669,Bucarein,89202300,83,Polo De Prevencao De Doencas E Agravos E Promocao Da Saude  ,-26.3117651,-48.8404272
7704283,7704283,420240,Blumenau,Laboratorio De Analises Clinicas Verner Willrich,Rua Itajaí,520,Vorstadt,89015200,39,Unidade De Apoio Diagnóstico E Terapia (Sadt Isolado)  ,-26.912458,-49.0501734
472859,472859,420215,Belmonte,Giumbelli Servicos Medicos,Rua Padre Antônio de Urucania,410,Centro,89925000,36,Clinica/Centro De Especialidade  ,-26.8467612,-53.5800925
7706251,7706251,421400,Presidente Getúlio,Jaqueline Franzoi Angioleti,Rua Mirador,570,Centro,89150000,22,Consultorio Isolado  ,-27.0410423,-49.6022445
7704011,7704011,421660,São José,Diagnostico Areias,Rua São Pedro,1700,Areias,88113250,39,Unidade De Apoio Diagnóstico E Terapia (Sadt Isolado)  ,-27.5589275,-48.6283347
7694520,7694520,420820,Itajaí,Talita Trevisan Endocrinologia E Metabologia,Rua Paulo Caramuru da Silva,145,Centro,88301240,36,Clinica/Centro De Especialidade  ,-26.9111413,-48.6585559
7695640,7695640,420280,Braço do Norte,Georgia Patricia Novak Pinheiro De Freitas,Avenida Felipe Schimidt,1169,Centro,88750000,22,Consultorio Isolado  ,-28.2728633,-49.1622712
9914099,9914099,421870,Tubarão,Vanessa De Farias Fernandes,Avenida Marcolino Martins Cabral,4320,Passagem,88705007,22,Consultorio Isolado  ,-28.4698468,-48.9862569
9795782,9795782,420930,Lages,Andreia Nunes Faria Melo,Rua Ricardo Pagani,100,Coral,88509530,22,Consultorio Isolado  ,-27.8139257,-50.3090868
7703066,7703066,420390,Capinzal,Patricia Soares Borges,Rua Ernesto Hachmann,44,Centro,89665000,22,Consultorio Isolado  ,-27.3456222,-51.6169784
9892001,9892001,420930,Lages,Jeniffer Borges De Andrade,Rua Coronel Córdova,986,Centro,88502000,22,Consultorio Isolado  ,-27.8126546,-50.3289274
9144439,9144439,420890,Jaraguá do Sul,Paddi Espaco Integrado De Saude,Rua Walter Breithaupt,125,Centro,89251540,36,Clinica/Centro De Especialidade  ,-26.4809476,-49.0877168596685
7535147,7535147,420195,Balneário Arroio do Silva,Laboratorio Vida Saude,Rua Guanabara,45,Centro,88914000,36,Clinica/Centro De Especialidade  ,-28.9916571,-49.4244005
9912452,9912452,420450,Corupá,Lunelli Industria Do Vestuario Ltda,Rua Abílio Lunelli,6700,Itapocu,89278000,22,Consultorio Isolado  ,-26.4310674,-49.2237225
9910441,9910441,420820,Itajaí,Sanches Medicina Ambulatorial Ltda,Rua Irene Bonanomi da Silva,288,Ressacada,88307395,22,Consultorio Isolado  ,-26.9299868,-48.6705072
9921818,9921818,420140,Araranguá,Rosane Irizaga Lucrecio,Rua Vereador Manoel Serafim Silvano,369,Mato Alto,88904160,22,Consultorio Isolado  ,-28.9521149,-49.5035772
7674147,7674147,420460,Criciúma,Clinica Sara Ribeiro Ss,Rua Coelho Neto,69,Pio Correa,88811518,22,Consultorio Isolado  ,-28.6764012,-49.3618187
3311465,3311465,420360,Campos Novos,Clinica Santa Clara S C Ltda,Rua Coronel Farrapos,408,Centro,89620000,36,Clinica/Centro De Especialidade  ,-27.3962904,-51.2224397
7743645,7743645,420820,Itajaí,Rodrigo Laudares Moreira,Avenida Coronel Marcos Konder,1313,Centro,88301303,22,Consultorio Isolado  ,-26.912603,-48.658966036205285
9795723,9795723,420930,Lages,Rafael Martorano Chiodelli,Praça Leoberto Leal,20,Centro,88501310,22,Consultorio Isolado  ,-27.815369996,-50.325287689
9871446,9871446,421770,Sombrio,Apae De Sombrio,Emanuel Wurffel,883,Sao Luiz,88960000,36,Clinica/Centro De Especialidade  ,-29.107985,-49.632776
7717016,7717016,420540,Florianópolis,Bellailha Clinica Medica,Rua Irmã Benwarda,83,Centro,88015270,4,Policlinica  ,-27.5896198,-48.5508212
7705980,7705980,421930,Videira,Laboratorio Laborali Ltda,Rua Antonio Ferlin,88,Sao Cristovao,89562024,39,Unidade De Apoio Diagnóstico E Terapia (Sadt Isolado)  ,-27.0102502,-51.1425235
