IBGE,Município,2013,2014,2015,2016,2017,2018,2019,2020,2021
4200051,Abdon Batista (SC),2656,2643,2630,2617,2604,2577,2563,2548,2534
4200101,Abelardo Luz (SC),17584,17651,17717,17782,17847,17847,17904,17960,18015
4200200,Agrolândia (SC),9957,10115,10272,10427,10581,10711,10864,11013,11160
4200309,Agronômica (SC),5172,5239,5306,5371,5437,5385,5448,5509,5570
4200408,Água Doce (SC),7110,7121,7132,7143,7154,7138,7145,7152,7160
4200507,Águas de Chapecó (SC),6313,6346,6379,6412,6445,6455,6486,6515,6544
4200556,Águas Frias (SC),2430,2419,2408,2397,2387,2378,2366,2354,2341
4200606,Águas Mornas (SC),5926,6020,6113,6206,6298,6378,6469,6559,6646
4200705,Alfredo Wagner (SC),9737,9794,9850,9905,9960,9984,10036,10086,10136
4200754,Alto Bela Vista (SC),2007,1997,1987,1977,1967,1948,1937,1926,1915
4200804,Anchieta (SC),6145,6066,5987,5909,5832,5721,5638,5557,5477
4200903,Angelina (SC),5166,5109,5053,4998,4943,4860,4801,4743,4686
4201000,Anita Garibaldi (SC),8230,8055,7881,7708,7537,7313,7133,6957,6783
4201109,Anitápolis (SC),3259,3256,3253,3251,3248,3236,3232,3228,3223
4201208,Antônio Carlos (SC),7906,8012,8118,8223,8327,8411,8513,8613,8712
4201257,Apiúna (SC),10099,10211,10322,10432,10542,10636,10743,10848,10951
4201273,Arabutã (SC),4270,4273,4276,4278,4281,4266,4267,4267,4268
4201307,Araquari (SC),29593,31030,32454,33867,35268,36710,38129,39524,40890
4201406,Araranguá (SC),64405,65090,65769,66442,67110,67578,68228,68867,69493
4201505,Armazém (SC),8159,8251,8341,8431,8520,8587,8674,8759,8843
4201604,Arroio Trinta (SC),3562,3563,3563,3564,3564,3551,3550,3549,3547
4201653,Arvoredo (SC),2281,2276,2271,2266,2261,2246,2240,2234,2228
4201703,Ascurra (SC),7683,7732,7781,7829,7877,7889,7934,7978,8021
4201802,Atalanta (SC),3310,3296,3282,3268,3254,3226,3210,3195,3179
4201901,Aurora (SC),5661,5668,5674,5681,5688,5676,5679,5683,5687
4201950,Balneário Arroio do Silva (SC),10876,11248,11616,11982,12344,12705,13071,13430,13782
4202008,Balneário Camboriú (SC),120926,124557,128155,131727,135268,138732,142295,145796,149227
4202057,Balneário Barra do Sul (SC),9330,9580,9828,10073,10317,10550,10795,11035,11271
4202073,Balneário Gaivota (SC),9259,9551,9841,10128,10413,10692,10979,11260,11537
4202081,Bandeirante (SC),2865,2836,2808,2779,2751,2708,2678,2648,2618
