CODIBGE,municipio,REGIAO
420005,ABDON BATISTA,Meio Oeste
420010,ABELARDO LUZ,Xanxerê
420020,AGROLANDIA,Alto Vale do Itajaí
420030,AGRONOMICA,Alto Vale do Itajaí
420040,AGUA DOCE,Meio Oeste
420050,AGUAS DE CHAPECO,Oeste
420055,AGUAS FRIAS,Oeste
420060,AGUAS MORNAS,Grande Florianópolis
420070,ALFREDO WAGNER,Grande Florianópolis
420075,ALTO BELA VISTA,Alto Uruguai Catarinense
420080,ANCHIETA,Extremo Oeste
420090,ANGELINA,Grande Florianópolis
420100,ANITA GARIBALDI,Serra Catarinense
420110,ANITAPOLIS,Grande Florianópolis
420120,ANTONIO CARLOS,Grande Florianópolis
420125,APIUNA,Médio Vale do Itajaí
420127,ARABUTA,Alto Uruguai Catarinense
420130,ARAQUARI,Nordeste
420140,ARARANGUA,Extremo Sul Catarinense
420150,ARMAZEM,Laguna
420160,ARROIO TRINTA,Alto Vale do Rio do Peixe
420165,ARVOREDO,Oeste
420170,ASCURRA,Médio Vale do Itajaí
420180,ATALANTA,Alto Vale do Itajaí
420190,AURORA,Alto Vale do Itajaí
420195,BALNEARIO ARROIO DO SILVA,Extremo Sul Catarinense
420205,BALNEARIO BARRA DO SUL,Nordeste
420200,BALNEARIO CAMBORIU,Foz do Rio Itajaí
420207,BALNEARIO GAIVOTA,Extremo Sul Catarinense
421280,BALNEARIO PIÇARRAS,Foz do Rio Itajaí
422000,BALNEARIO RINCAO,Carbonífera
420208,BANDEIRANTE,Extremo Oeste
420209,BARRA BONITA,Extremo Oeste
420210,BARRA VELHA,Nordeste
420213,BELA VISTA DO TOLDO,Planalto Norte
420215,BELMONTE,Extremo Oeste
420220,BENEDITO NOVO,Médio Vale do Itajaí
420230,BIGUAÇU,Grande Florianópolis
420240,BLUMENAU,Médio Vale do Itajaí
420243,BOCAINA DO SUL,Serra Catarinense
420250,BOM JARDIM DA SERRA,Serra Catarinense
420253,BOM JESUS,Xanxerê
420257,BOM JESUS DO OESTE,Extremo Oeste
420260,BOM RETIRO,Serra Catarinense
420245,BOMBINHAS,Foz do Rio Itajaí
420270,BOTUVERA,Médio Vale do Itajaí
420280,BRAÇO DO NORTE,Laguna
420285,BRAÇO DO TROMBUDO,Alto Vale do Itajaí
420287,BRUNOPOLIS,Meio Oeste
420290,BRUSQUE,Médio Vale do Itajaí
