Ibge,Asma,Diabetes,DPOC,Hipertensão arterial,Obesidade,Tabagismo,Usuário de álcool,Saúde mental,D.Transmissíveis - Hanseníase,D.Transmissíveis - Tuberculose,Rast. câncer de mama,Rast. câncer do colo do útero,ano,referencia,população
420460,0,1,0,8,4,2,0,0,0,0,0,0,2013,201305,204667
420460,0,0,0,1,1,0,0,0,0,0,0,0,2013,201307,204667
420290,0,0,0,0,0,0,0,2,0,0,0,0,2013,201308,119719
420210,8,0,0,4,0,2,4,4,0,0,0,10,2013,201308,25662
420230,4,9,1,0,0,0,0,0,0,0,0,0,2013,201308,63440
420460,0,0,0,3,1,0,0,0,0,0,0,0,2013,201308,204667
420915,25,1,0,2,9,2,8,7,0,0,0,0,2013,201309,4850
420460,0,2,0,5,3,9,9,0,0,0,0,0,2013,201309,204667
420690,0,0,0,0,0,0,0,11,0,0,0,0,2013,201309,18255
420830,0,2,0,2,0,0,0,0,0,0,0,0,2013,201309,55016
420290,1,0,0,0,0,0,0,4,0,0,0,0,2013,201309,119719
420210,28,1,1,14,5,10,4,2,0,0,9,9,2013,201310,25662
421220,11,4,0,21,52,4,6,1,0,1,1,1,2013,201310,18681
421000,0,0,0,0,5,0,0,0,0,0,0,0,2013,201310,11653
420460,0,7,0,26,15,10,8,0,0,0,0,0,2013,201310,204667
420320,0,0,0,0,14,0,0,0,0,0,0,0,2013,201310,72261
420690,0,0,0,0,0,0,0,6,0,0,0,0,2013,201310,18255
420830,10,32,2,95,11,3,2,69,0,0,0,1,2013,201310,55016
420290,0,0,0,0,0,0,0,21,0,0,0,0,2013,201310,119719
420210,19,0,2,3,0,8,7,0,0,0,0,2,2013,201311,25662
421220,16,4,0,14,62,3,6,1,0,0,1,0,2013,201311,18681
420460,1,13,0,24,12,5,3,0,0,1,0,0,2013,201311,204667
420320,0,0,0,0,41,0,0,0,0,0,0,0,2013,201311,72261
420830,18,114,4,356,27,3,1,252,0,0,0,0,2013,201311,55016
421240,2,11,0,0,137,0,0,0,0,0,0,0,2013,201311,4089
420210,7,0,0,0,0,3,1,0,0,0,0,0,2013,201312,25662
421000,0,0,0,0,3,0,0,0,0,0,0,0,2013,201312,11653
420460,0,11,0,26,13,7,3,0,0,0,0,0,2013,201312,204667
420320,0,0,0,0,19,0,0,0,0,0,0,0,2013,201312,72261
420830,18,72,7,213,13,8,3,159,0,0,0,0,2013,201312,55016
421970,0,0,0,6,0,0,40,0,0,0,0,0,2013,201312,27336
421220,2,4,2,2,2,0,0,8,0,0,0,0,2014,201401,18681
420210,7,8,1,34,2,4,4,9,0,0,1,0,2014,201401,25662
421630,0,1,0,2,0,0,0,3,0,0,0,0,2014,201401,31534
